name,ticker,year,controversy,environment,social,governance,annual_return,sd
GENERAL ELECTRIC,GE,2022,28.368814,79.788229,73.695217,86.101241,0.002635,0.278734
GEN DIGITAL,GEN,2022,74.813212,73.482672,73.593592,69.30917,0.094104,0.316009
GILEAD SCIENCES,GILD,2022,65.209222,56.231975,82.525825,80.780203,0.136996,0.22508
GENERAL MILLS,GIS,2022,67.320924,81.99855,87.661484,43.926743,0.065794,0.151268
GLOBE LIFE,GL,2022,90.159015,23.57499,45.264697,60.738651,0.102504,0.203562
CORNING,GLW,2022,90.140781,53.378744,58.482409,64.274137,0.085382,0.367794
GENERAL MOTORS,GM,2022,24.901301,72.935986,83.589091,72.180671,0.017772,0.319726
GENERAC HOLDINGS,GNRC,2022,67.901495,5.597693,37.902363,49.827792,0.119588,0.373598
ALPHABET 'C',GOOG,2022,3.261652,73.442274,75.597549,61.445829,0.087681,0.22446
ALPHABET A,GOOGL,2022,3.261652,73.442274,75.597549,61.445829,0.183342,0.260759
GENUINE PARTS,GPC,2022,97.117721,20.678538,32.593112,59.656615,0.096041,0.201479
GLOBAL PAYMENTS,GPN,2022,86.518029,26.047476,33.474199,27.208178,0.149364,0.253482
GARMIN,GRMN,2022,73.312253,45.876003,62.010878,61.071842,0.113808,0.301351
GOLDMAN SACHS GP.,GS,2022,10.29166,91.497125,77.031373,70.148933,0.081979,0.27861
WW GRAINGER,GWW,2022,99.024997,57.482224,73.899295,63.958996,0.161294,0.23645
HALLIBURTON,HAL,2022,60.444604,83.440546,88.828823,71.53287,0.097289,0.395643
HASBRO,HAS,2022,92.799748,51.066119,91.20235,69.668849,0.109995,0.267981
HUNTINGTON BCSH.,HBAN,2022,93.48192,55.756041,67.773158,74.593879,0.021429,0.32152
HCA HEALTHCARE,HCA,2022,81.191496,41.674464,60.760593,54.324001,0.145139,0.276264
HOME DEPOT,HD,2022,43.776788,83.890134,74.990849,60.397985,0.115189,0.23468
HESS,HES,2022,87.18546,70.369616,80.713597,68.338508,0.077546,0.362358
HARTFORD FINL.SVS.GP.,HIG,2022,84.539579,74.319625,65.846274,78.38201,0.029281,0.343448
HNTGTN.INGALLS INDS.,HII,2022,90.085135,17.256472,45.485082,44.30132,0.193165,0.24501
HILTON WORLDWIDE HDG.,HLT,2022,85.813688,81.496294,72.581479,74.273673,0.196921,0.235406
HOLOGIC,HOLX,2022,94.436867,33.847143,50.474633,74.409109,0.131194,0.304056
HONEYWELL INTL.,HON,2022,65.833086,70.210425,67.140012,75.625486,0.115899,0.216643
HEWLETT PACKARD ENTER.,HPE,2022,79.44609,58.434684,70.962202,87.262214,0.103274,0.318198
HP,HPQ,2022,64.681068,58.102133,82.781914,83.229878,0.109918,0.29529
HORMEL FOODS,HRL,2022,89.834541,57.735165,90.43216,43.47033,0.096861,0.177449
HENRY SCHEIN,HSIC,2022,81.213493,56.37881,53.914018,57.110285,0.087536,0.207781
HOST HOTELS & RESORTS REIT,HST,2022,100.0,80.412056,73.499839,83.922681,0.058745,0.298776
HERSHEY,HSY,2022,72.979151,85.04464,87.396375,48.000237,0.105466,0.176557
HUBBELL,HUBB,2022,100.0,56.615042,46.338175,65.068473,0.086717,0.236386
HUMANA,HUM,2022,81.421932,75.69235,80.326537,82.70935,0.193013,0.315566
HOWMET AEROSPACE,HWM,2022,76.956501,55.556466,75.413721,53.743055,0.071898,0.35891
INTERNATIONAL BUS.MCHS.,IBM,2022,68.41134,78.653519,95.880951,56.502855,0.044548,0.214528
