ticker,controversy,environment,social,governance,human_rights,community,workforce,product_responsibility,shareholders,management
EMR,98.9976,66.3611,67.895,50.7916,55.0294,88.5018,74.8832,56.3679,44.0973,55.0298
ENPH,87.3927,45.8278,62.007,32.3237,64.8177,69.1769,36.5904,74.537,17.9728,33.2657
EOG,95.7692,41.8675,40.3037,68.3713,25.8906,49.4143,59.5038,27.7481,87.1665,64.5907
EPAM,100.0,15.8702,69.6194,56.3109,70.7053,77.7619,62.3508,62.3841,33.9201,67.6138
EQIX,92.935,59.3583,64.5408,54.7782,14.8543,85.2617,71.144,38.9556,67.9204,50.6302
EQR,99.0219,52.358,67.1483,48.4371,20.8981,84.3072,63.7495,60.1281,44.4289,48.289
EQT,87.6991,38.4176,35.9047,56.5738,0.0,83.2517,56.3289,26.9111,62.7724,52.8948
ES,92.9151,77.3293,66.239,56.6026,39.7032,86.064,62.1909,78.6984,80.7948,46.482
ESS,100.0,53.4338,47.0426,76.4722,25.4553,33.2496,62.031,52.8497,52.6043,89.0059
ETN,72.7606,88.6801,73.4132,36.6113,83.7096,91.7664,80.9459,34.0541,28.567,30.6939
ETR,88.503,52.3017,59.4378,62.981,35.7206,90.3728,47.5394,69.2486,90.9568,50.7018
ETSY,81.2908,57.8963,42.1036,45.3245,32.2392,60.794,51.0411,16.8407,17.0481,52.5934
EVRG,100.0,44.9082,35.3278,65.7571,32.2747,74.9884,14.9422,24.2619,77.3188,62.5772
EW,68.0492,53.2317,73.2977,47.7363,45.949,91.0676,77.9429,78.3769,48.3524,43.5569
EXC,78.5603,57.2706,55.7291,71.1842,2.8143,70.6751,58.0418,95.5908,77.3642,65.0404
EXPD,94.2426,50.6663,49.7213,59.9721,17.0342,59.8064,50.8941,67.8963,81.2075,58.7386
EXPE,67.9979,30.0937,33.781,16.536,16.6138,67.3776,45.8806,16.6962,26.3237,11.6085
EXR,100.0,18.2953,51.0236,15.308,0.0,55.2702,51.0077,59.9834,32.9318,11.7494
F,26.6857,87.677,88.8136,39.8464,92.0125,89.4723,85.7689,86.366,36.2946,29.6268
FANG,80.1954,31.9751,44.4949,76.0635,47.359,42.3564,49.752,29.8225,86.9745,75.0529
FAST,97.406,44.9467,34.4305,52.1026,46.5091,9.2234,44.3653,37.3931,47.2696,61.857
FCX,77.3004,78.8071,78.2676,87.8259,72.7634,95.089,74.1675,78.5507,76.3586,91.3341
FDS,100.0,25.4959,55.8217,79.991,35.8244,76.3068,57.601,58.4267,71.6686,86.0952
FDX,33.3408,72.2499,65.4954,78.6805,14.7336,87.7121,69.2034,82.4609,74.6542,81.3274
FE,61.8634,57.9927,57.093,62.6853,55.8679,64.1142,55.7722,50.3265,71.439,58.1775
FFIV,99.2907,27.9855,72.089,57.4255,36.2964,84.8743,67.1804,77.1898,91.3861,53.2719
FI,90.3074,15.8363,36.2574,53.5175,21.7283,73.7817,32.4339,13.5553,50.2106,60.3645
FICO,96.5858,13.0966,41.314,43.3434,3.1094,59.9026,53.7476,29.1752,72.1136,40.2428
FIS,81.7588,31.9367,76.1671,35.5831,35.5904,92.2868,71.0753,69.3441,23.36,37.2999
FITB,82.9218,61.3166,65.7957,68.6739,28.4376,94.9523,63.7435,71.2683,52.9281,75.3976
FLT,90.8866,9.6445,22.9261,41.7486,0.0,44.9792,26.3117,26.2139,52.7996,42.7421
FMC,78.7283,66.4321,60.7235,72.8933,47.6095,74.5791,72.5171,59.448,36.8526,79.9143
FOX,40.2639,36.4478,76.5294,59.2661,76.3054,85.268,76.8972,69.1053,57.4899,65.051
FOXA,40.2639,36.4478,76.5294,59.2661,76.3054,85.268,76.8972,69.1053,57.4899,65.051
FRT,100.0,55.5416,51.8792,74.5642,16.4514,75.8766,47.8589,32.2401,36.4789,92.441
FSLR,83.5869,61.254,75.0277,57.8438,67.7344,82.5667,65.3509,74.5707,82.25,49.0193
FTNT,99.0901,42.1064,63.9382,40.3606,40.0912,70.1333,46.1815,79.3941,49.3052,37.8442
FTV,100.0,37.0034,54.6243,63.9148,65.3865,53.6536,60.5497,36.7481,64.3819,64.2039
GD,83.9682,36.1008,54.7605,69.9906,20.5365,73.597,66.1701,81.2616,85.628,76.2067
GE,29.7567,79.7706,73.8743,86.0846,84.7399,68.5528,69.3966,64.138,84.5396,84.6074
GEN,80.549,74.0678,72.8395,70.5178,71.1226,96.3606,84.6839,34.4335,83.3978,64.0207
GILD,65.4167,53.3347,81.4546,80.1873,63.4203,94.465,81.1573,83.4077,51.0257,92.2955
GIS,66.6914,81.9689,87.5191,44.7857,75.6395,95.6865,94.1109,87.6653,43.6219,36.0341
GL,87.5046,25.3462,46.4079,59.3625,29.6415,68.7057,47.4685,29.6519,89.0962,56.5932
GLW,89.1536,54.7515,58.4859,63.0793,21.3335,87.565,72.5658,48.7492,87.8823,59.0192
GM,24.6543,72.0046,82.5779,71.002,81.8519,85.3738,74.3732,90.7965,92.18,60.1262
GNRC,57.0392,7.1366,37.8481,51.2555,54.1426,56.8721,23.7709,8.5814,50.1034,58.4743
GOOG,3.2589,73.363,74.9078,62.4948,61.8552,76.2,89.7372,71.1655,15.0663,77.3807
GOOGL,3.2589,73.363,74.9078,62.4948,61.8552,76.2,89.7372,71.1655,15.0663,77.3807
GPC,96.8913,20.2962,34.2398,59.1623,35.0967,63.1715,31.9465,8.358,38.291,68.6484
GPN,82.8589,26.9111,34.0195,28.2819,6.813,59.5467,48.2686,26.2421,12.6939,33.6405
GRMN,71.9461,45.5038,62.0862,61.1154,50.7855,73.7139,56.69,57.9525,51.3918,74.4424
GS,10.1805,91.3413,76.7812,70.9288,62.7672,96.1895,77.3715,44.7604,84.5248,64.3392
GWW,98.8864,56.4811,73.2161,63.9436,67.9029,94.94,71.8537,57.9393,80.9512,59.3765
HAL,56.8998,83.2628,88.7793,71.4475,82.7079,97.3742,87.4747,94.532,73.5261,70.205
HAS,93.002,50.9942,91.023,69.0439,78.8352,95.5503,94.635,92.8209,80.0069,64.9501
HBAN,92.6517,55.3874,67.4958,72.9746,23.9157,94.3368,71.2665,70.2094,79.1423,72.966
HCA,78.48,40.0669,60.1234,52.4056,0.5913,82.9496,41.0167,83.6054,45.6766,58.2672
HD,42.1554,84.1835,74.3845,58.2564,48.3736,90.3942,69.4292,78.2,74.7578,52.6409
HES,86.8172,70.9565,80.4332,67.0684,83.1384,96.7676,73.811,66.0828,32.5213,71.1348
HIG,82.1135,73.5914,65.4312,78.2613,33.3301,91.1849,77.4042,40.8522,78.094,79.4491
HII,87.4537,18.0023,45.0896,44.0963,48.3822,60.7212,46.3985,12.7646,49.998,47.5184
HLT,83.2726,82.4608,72.6352,75.5302,71.2247,93.0854,81.328,57.5545,67.8302,75.6457
HOLX,94.6172,33.7537,50.2729,73.9482,21.7341,71.8481,68.5298,44.6654,53.4688,86.9237
HON,63.8377,69.547,67.0575,75.3322,68.4745,70.2835,64.4537,64.0766,87.223,79.7898
HPE,78.2887,58.907,71.4115,88.7993,69.1413,87.6959,96.0181,38.0434,82.555,89.3686
HPQ,61.2588,58.2656,82.6419,83.0197,86.4167,90.3636,96.0507,57.0655,63.3626,86.3458
HRL,88.8278,57.8837,90.0659,44.3366,83.7083,94.9673,90.5523,92.2775,49.9636,37.6288
HSIC,82.8684,55.8378,53.796,57.1517,34.0637,85.7484,66.5238,35.6578,75.6559,56.2891
HST,100.0,79.0664,72.5445,83.5656,28.4829,81.3452,73.6761,70.9496,78.0813,88.1274
HSY,70.4881,85.0122,87.1759,49.4566,78.1329,93.1804,91.6427,87.8751,23.2858,50.7612
HUBB,100.0,56.9299,47.0449,65.1447,34.4231,64.2223,46.1139,45.6666,44.6389,77.4056
HUM,81.0922,74.6868,78.9375,81.6824,55.7164,91.4641,81.9348,78.1111,63.6828,89.6762
HWM,75.6877,56.0059,75.5763,55.9955,85.0475,74.2318,81.3133,49.0979,66.9916,45.696
IBM,66.1173,78.8128,95.7611,55.9612,83.6937,98.5787,98.171,97.0225,75.6768,46.5722
ICE,87.2795,50.1067,56.9642,60.6517,59.8458,73.6621,48.3502,37.496,73.7283,61.3088
IDXX,98.029,46.4301,60.9387,54.8314,33.7014,75.0377,60.5392,72.1368,35.4591,64.9606
IEX,97.2406,44.9807,42.9456,60.8367,27.447,70.1205,49.3841,28.2377,16.6835,76.279
IFF,86.9914,78.147,72.9912,78.5031,79.1761,74.7886,67.3768,70.7489,72.7941,78.4276
ILMN,68.5801,42.6432,65.5442,30.4359,53.7385,66.1895,70.3286,71.8541,76.6849,13.7087
INCY,100.0,30.764,43.4946,58.7028,0.0,79.0767,63.8795,45.4959,37.016,71.9731
INTC,49.8066,90.5043,86.0946,86.1686,94.1881,96.1036,97.0328,48.9386,68.4228,89.7422
INTU,78.0031,67.3761,82.5385,69.962,63.2275,86.3349,78.4602,85.2435,81.2869,71.3552
INVH,100.0,22.4037,52.2861,60.0748,56.9584,55.5639,56.4287,40.0643,55.8982,68.0314
IP,80.9837,69.5425,68.7101,58.5638,78.3024,90.1525,60.0909,35.8013,82.4656,49.6269
IPG,85.1579,52.275,64.46,58.5315,70.0662,78.174,74.0731,41.6837,68.4512,52.8957
IQV,96.7811,46.8457,77.4838,37.7484,61.5003,83.2756,95.9872,62.8081,16.5634,41.0876
IR,100.0,34.1368,59.2997,39.7519,37.8188,72.1352,75.9867,58.8624,40.6876,35.0725
IRM,92.0793,69.2292,70.2362,68.1523,44.2666,84.6686,82.1876,39.3476,44.8589,74.73
ISRG,94.5542,25.8043,38.2838,76.9044,17.0003,69.9917,60.9716,15.417,85.0802,85.1046
IT,100.0,26.9751,52.9448,76.6705,51.3261,65.1005,60.0237,32.9079,66.8093,86.7917
