Symbol,Name,Year,CSR Strategy Score,Community Score,ESG Combined Score,ESG Controversies Score,ESG Score,Emissions Score,Environment Pillar Score,Environmental Innovation Score,Governance Pillar Score,Human Rights Score,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,TRDIR Controversies Score,TRDIR Diversity Score,TRDIR Inclusion Score,TRDIR People Development Score,TRDIR Score,Workforce Score,Total Returns,Standard Deviation,Predicted Total Returns
AZO,AUTOZONE,2002,11.101296978095238,65.04144361333333,44.83369348476191,90.08673031285714,45.53381803714286,29.270729597142857,19.440593158571428,2.2606393458571428,52.62128074333334,35.311948173333334,64.35354742523809,51.48658319,21.388392481619046,41.1937143152381,50.897052793523805,100.0,25.2,13.0,52.8,47.75,44.21760725714286,0.2006805238095238,0.2248308095238095,2.01%
BA,BOEING,2002,47.546700790476194,84.35131534285715,48.66155674428571,37.16815124028572,67.49434359,86.42781274857143,77.5392698695238,63.69191912619048,67.86440283380952,44.59098593142857,70.64308328380952,43.747895482380954,84.1510136852381,72.14726936523809,61.7872086195238,80.57142857142857,33.57142857142857,54.57142857142857,63.57142857142857,58.07142857142857,75.32402240619048,0.14561819047619048,0.28707066666666664,1.46%
BAC,BANK OF AMERICA,2002,68.14916620000001,86.5408944252381,39.52606047380952,15.751873010619047,67.27876438857143,74.30500599619047,82.36823890095238,68.21466922809525,65.0367682247619,32.390695792857144,64.59984989,77.64100610285715,83.37049497047619,64.41823069142858,67.60626523761906,84.0,43.0,88.85714285714286,65.0,70.21428571428571,68.78065047523809,0.09764242857142857,0.32313557142857147,0.98%
BALL,BALL,2002,53.3269673935,67.180274859,57.86696907100001,95.5,59.1162351275,76.808272344,65.768268886,26.863101358,45.7840938525,53.37083559599999,52.884082938999995,43.0952453855,79.116979108,17.08888120635,60.96483877199999,100.0,37.166666666666664,31.333333333333332,66.0,58.625,83.269932173,0.1895386,0.2206847,1.90%
BAX,BAXTER INTL.,2002,92.54998387380952,89.51319607,69.57867791333334,66.01815335385714,79.61952113857143,88.70736334809524,66.84641629238095,26.19047619047619,80.03569727571428,62.67155487380952,78.29003077333334,87.72456508095239,90.34015759285714,77.51172788095239,83.83061440095238,100.0,44.42857142857143,68.71428571428571,47.142857142857146,65.07142857142857,98.23559709523809,0.08336295238095238,0.21078771428571427,0.83%
BBWI,BATH AND BODY WORKS,2005,19.080969169263156,79.61122000157894,55.01965611842106,95.3435270868421,55.12706540105264,69.69815448105264,60.45001726052632,17.248051598789473,46.025993812631576,40.56806353578947,45.87044880052631,61.11312731368421,82.64310424473685,64.50782695368422,61.11330962368421,100.0,28.518185714285714,42.142857142857146,43.97744285714286,53.659614285714284,53.40006888736842,0.22854452631578948,0.38269484210526317,2.29%
BBY,BEST BUY,2002,57.995610549090905,84.06187163136364,52.79588950090909,63.456765295500006,61.930897573636365,61.374441056818185,56.93547465786364,29.487206304999997,61.832894495454546,52.43928350454546,57.42974827168182,54.556032515,73.38741544545455,79.06823786636363,64.29402779,97.28571428571429,45.43747142857143,54.4898,40.95562857142857,59.54215714285714,59.83627567181818,0.1881922727272727,0.3620475,1.88%
BDX,BECTON DICKINSON,2002,65.35176651238096,88.38949852809525,61.929975791428575,69.17425237004761,67.15537918761905,65.3818106677619,57.33058967619048,33.333333333333336,62.988951836666665,56.95665208,68.38043399190477,70.08963777666666,77.26313386457143,43.442134862380954,73.80195826761904,94.85714285714286,44.142857142857146,48.857142857142854,36.57142857142857,56.107142857142854,82.75202560238095,0.13095071428571428,0.1807670476190476,1.31%
BEN,FRANKLIN RESOURCES,2005,23.575802756444446,71.47447045,47.99425079833333,92.73267943222223,48.43039298111111,50.60828649622222,44.68872411722222,16.669039343888887,48.63117711833333,0.0,49.95637554722222,44.05571816444444,42.36362166033334,60.91743192777777,54.76832718166666,100.0,35.5,57.833333333333336,25.166666666666668,54.625,54.719469222222216,0.07573283333333333,0.28225994444444447,0.76%
BG,BUNGE GLOBAL,2004,67.33286654277778,70.19119332777778,57.80522450777778,57.85430132127778,67.46912039222222,69.45478710722222,70.93659599888889,67.58176646,73.12358064833333,63.550780430555555,75.46128626611112,66.20687571444445,73.08937079833333,69.19170465388889,61.98885345888888,88.5,24.833333333333332,2.5,48.166666666666664,46.25,48.50351603611111,0.12488033333333333,0.2803221111111111,1.25%
BIIB,BIOGEN,2002,58.57632522714285,85.88718287666667,50.87731621238095,73.03281933142857,54.44845477047619,50.977810881428574,48.882154616190476,0.0,56.397876825714285,24.77103466333333,53.23290200857142,57.762293475238096,61.66071036095237,65.49549394809524,55.87542744904762,100.0,37.57142857142857,70.14285714285714,61.57142857142857,67.32142857142857,66.11309657904762,0.14191928571428572,0.328266380952381,1.42%
BIO,BIO-RAD LABORATORIES 'A',2009,11.664166560714287,50.055621505714285,30.494618929857143,94.60064935071429,30.494618929857143,19.16721919892857,17.565480091428572,0.0,22.38779273571429,35.66798930714286,20.679136854214285,36.21085906357143,37.520156321428566,35.23239646064285,41.23418170442857,100.0,29.0,33.833333333333336,19.0,53.833333333333336,44.93116803642857,0.16404307142857144,0.2322975714285714,1.64%
BK,BANK OF NEW YORK MELLON,2002,60.87858285095238,88.43871571428572,47.419598404761906,62.24982871952381,54.984194283809515,62.27973850957143,70.76838752238095,52.30017270761904,39.656963499571425,33.59956101952381,30.02490655504762,44.80603299095238,63.11021009095238,57.6160737437619,72.44711183714286,100.0,39.714285714285715,71.85714285714286,54.42857142857143,66.5,80.59688057952381,0.056784666666666664,0.24851628571428575,0.57%
BKNG,BOOKING HOLDINGS,2007,18.748689083125,55.6125790775,25.006122563125,70.53531621125,26.664050189375,23.270468629375,16.5332573975,3.49454365125,36.46049410875,9.60324020875,30.6588889968125,16.062125579375,12.3202491454375,67.6070478325,26.211563249375,100.0,28.166666666666668,20.5,28.166666666666668,53.625,28.6055970175,0.3787550625,0.322294375,3.79%
BKR,BAKER HUGHES A,2002,61.93649058333333,76.08998883142857,61.04376992380952,82.83730158714286,64.72643357380952,63.98062298714285,63.47763028285714,47.788571993333335,65.02981972666666,51.90546567761904,71.86248207057143,53.64690242809523,68.50601658304761,44.31649800628571,65.53752413238095,97.28571428571429,42.57142857142857,17.857142857142858,42.42857142857143,50.035714285714285,79.54401214142857,0.048638238095238095,0.3609359523809524,0.49%
BLK,BLACKROCK,2008,30.968531627333334,74.40591428333333,50.017187346,83.69664018733333,52.745725474,37.55643272933333,44.097343824,26.489059694666665,51.80054443466667,37.773646512,53.1702762,33.29414398866667,40.04502987266667,61.12278041933334,61.24909666533333,100.0,48.57142857142857,87.71428571428571,55.285714285714285,72.89285714285714,69.30857228199999,0.15305213333333334,0.28207766666666667,1.53%
BMY,BRISTOL MYERS SQUIBB,2002,90.348722232,90.3932890495,66.517537263,67.5380754725,76.228148003,84.27744121250001,78.2620056925,23.871162378,72.419554565,61.679866921999995,67.48275671249999,75.5070594765,89.1653667175,76.922768963,77.7786223685,96.0,32.0,88.0,51.833333333333336,66.95833333333333,88.2514191425,0.0784268,0.2331798,0.78%
BR,BROADRIDGE FINL.SLTN.,2007,10.305171130000002,63.42254815647058,41.20070783735294,100.0,41.20070783735294,32.13493963070589,30.96872106858823,21.917372503529414,47.228435082588234,21.335682379411764,46.991449422294124,59.3993562617647,36.73679124988235,72.63389659235294,42.08870535147059,100.0,14.857142857142858,49.0,32.285714285714285,54.95,31.95015803529412,0.21768975000000002,0.23178400000000002,2.18%
BRO,BROWN & BROWN,2004,2.513682941157895,43.631782937894734,35.137591610526314,95.61403508789473,35.79027554421052,1.667962782210526,15.725217289736843,0.0,52.85313154789474,4.629792098421053,53.602757358894735,35.398226775789475,1.4057579847368422,83.91401124789473,31.21512222473684,96.83333333333333,12.333333333333334,4.5,41.833333333333336,50.0,31.386080138421054,0.14136489473684213,0.19671094736842107,1.41%
BSX,BOSTON SCIENTIFIC,2002,31.40013991952381,83.8418271204762,48.953387244285715,61.591681862,54.10041473238095,73.2701259302381,40.84344779919048,0.0,52.199846821904764,27.584513665714287,59.04795077761905,61.735395307619044,51.36440988380952,43.23930490190477,60.2425558547619,100.0,43.666666666666664,69.0,37.666666666666664,62.583333333333336,69.93237393666666,0.12647985714285714,0.2746960476190476,1.26%
